category	id	target	seed	new_cpu_seconds
continuation	P--lambda-W-00	W	13066739246755516810	10800
continuation	TC--lambda-W-00	W	13066739246755516810	10800
continuation	TC--lambda-W-01	W	10736430408105228949	10800
continuation	P--lambda-W-01	W	10736430408105228949	10800
continuation	P--lambda-W-02	W	12075019074319984293	10800
continuation	TC--lambda-W-02	W	12075019074319984293	10800
continuation	TC--lambda-W-03	W	8784334872519884885	10800
continuation	P--lambda-W-03	W	8784334872519884885	10800
continuation	P--lambda-W-04	W	11492396544507892624	10800
continuation	TC--lambda-W-04	W	11492396544507892624	10800
continuation	TC--lambda-W-05	W	3836825322914055362	10800
continuation	P--lambda-W-05	W	3836825322914055362	10800
continuation	P--lambda-W-06	W	2475884772427737322	10800
continuation	TC--lambda-W-06	W	2475884772427737322	10800
continuation	TC--lambda-W-07	W	1063539887069556541	10800
continuation	P--lambda-W-07	W	1063539887069556541	10800
continuation	P--lambda-W-08	W	1539184063912749368	10800
continuation	TC--lambda-W-08	W	1539184063912749368	10800
continuation	TC--lambda-W-09	W	1423794378183781708	10800
continuation	P--lambda-W-09	W	1423794378183781708	10800
continuation	P--lambda-W-10	W	12677951989324453032	10800
continuation	TC--lambda-W-10	W	12677951989324453032	10800
continuation	TC--lambda-W-11	W	1879856566115949509	10800
continuation	P--lambda-W-11	W	1879856566115949509	10800
record	RECORD-P--lambda-W-00	W	14517930246836657021	7200
record	RECORD-P--lambda-W-01	W	14599755659478191033	7200
record	RECORD-P--lambda-W-02	W	3937128344664988957	7200
record	RECORD-P--lambda-W-03	W	9553764699576918074	7200
record	RECORD-P--lambda-W-04	W	11478817867309646611	7200
record	RECORD-P--lambda-W-05	W	10549811738959412333	7200
record	RECORD-P--lambda-Linf-00	Linf	17669954367849942615	7200
record	RECORD-P--lambda-Linf-01	Linf	3219742179560182805	7200
record	RECORD-P--lambda-Linf-02	Linf	805801209724658231	7200
record	RECORD-P--lambda-Linf-03	Linf	3053440689269158526	7200
record	RECORD-P--lambda-L1-00	L1	16516912237524380731	7200
record	RECORD-P--lambda-L1-01	L1	10022588271783527295	7200
